address,total_contribution,contribution_count,unique_clusters,first_contribution,last_contribution,contribution_percentile
0xf966614412df64e80fad2c7108c8b657b19c3cba,1.00082321575,1,1,2026-06-08 00:00:00,2026-06-08 00:00:00,0.0
0xf235c33f21d52216d5c13090ae6cb894e6c5ed90,1.00082321575,1,1,2026-06-08 00:00:00,2026-06-08 00:00:00,0.0
0x15663e1b016715cf8e365c47b58183b67ff127ed,1.00082321575,1,1,2026-06-08 00:00:00,2026-06-08 00:00:00,0.0
0xfe222247735b3c7ef099ba761f9477450f5256fe,15599.0771787,1,1,2026-06-08 00:00:00,2026-06-08 00:00:00,0.125
0x353ba7829f4002800112ba6214dabcd51e82e078,15661.724075,1,1,2026-06-08 00:00:00,2026-06-08 00:00:00,0.16666666666666666
0x3ada85d4f516b241a9e80e50fd3599a08dac54db,15661.724075,1,1,2026-06-08 00:00:00,2026-06-08 00:00:00,0.16666666666666666
0xa2cfb4a5e7e501d6bd2d6aa8ecc10893e1dbd624,15661.724075,1,1,2026-06-08 00:00:00,2026-06-08 00:00:00,0.16666666666666666
0xccc7f9ac1d3794a6a28d08710caad016710208b2,20831.689422,1,1,2026-06-08 00:00:00,2026-06-08 00:00:00,0.2916666666666667
0x52372a6dd24699cfd9ef227ad5375fa32133dc4c,41667.374244,1,1,2026-06-08 00:00:00,2026-06-08 00:00:00,0.3333333333333333
0xc62188bdb24d2685aed8fa491e33efba47db63c2,116690.704308,1,1,2026-06-08 00:00:00,2026-06-08 00:00:00,0.375
0x875c2aa1b9772fe760e330c2fb18a1853dcce8ec,116792.17688700001,1,1,2026-06-08 00:00:00,2026-06-08 00:00:00,0.4166666666666667
0xb39b0cfc24bb5856957244c752c0cf67cc33ea4e,121751.796229,1,1,2026-06-08 00:00:00,2026-06-08 00:00:00,0.4583333333333333
0x07c7a5905f877d42395b730a815d4a90c9335241,370747.27999999997,1,1,2026-06-08 00:00:00,2026-06-08 00:00:00,0.5
0xaaf33a7e4756d097b2158551a25374daf600c49d,669785.4147600001,1,1,2026-06-08 00:00:00,2026-06-08 00:00:00,0.5416666666666666
0xd5281b0011eb37ab391e59add92ccb33a6870816,999819.3900646027,1,1,2026-06-08 00:00:00,2026-06-08 00:00:00,0.5833333333333334
0x0c83eae1fe72c390a02e426572854931eeff93ba,1376418.710727,1,1,2026-06-08 00:00:00,2026-06-08 00:00:00,0.625
0xeeda1b827e47ce5994713a305e699e9f812de44a,2322754.9133999995,1,1,2026-06-08 00:00:00,2026-06-08 00:00:00,0.6666666666666666
0x6454ac71ca260f99cca99a3f4241dfda20cfa965,3605990.5103400005,1,1,2026-06-08 00:00:00,2026-06-08 00:00:00,0.7083333333333334
0xed2223b55e8085fff9c9b3ac964ae2696cd6618b,6946121.584999997,1,1,2026-06-08 00:00:00,2026-06-08 00:00:00,0.75
0xde4a1b2ea88ec03e93aad9d4c5bffeb18687d079,9064033.83324,1,1,2026-06-08 00:00:00,2026-06-08 00:00:00,0.7916666666666666
0xaac0f1f7715beb0a2c34eae16afe93fb10c1fb6f,24774384.022920005,1,1,2026-06-08 00:00:00,2026-06-08 00:00:00,0.8333333333333334
0x2364963e6b99281def39aeda6a8acee790d93af4,37138401.679320015,1,1,2026-06-08 00:00:00,2026-06-08 00:00:00,0.875
0x5fdcb78ca9a1164c13428e5fc9582c8c48dab69f,70544313.79000007,1,1,2026-06-08 00:00:00,2026-06-08 00:00:00,0.9166666666666666
0x765c6a8f20c842e8c826b0d9425015784f982afc,74597432.80499995,1,1,2026-06-08 00:00:00,2026-06-08 00:00:00,0.9583333333333334
0x388c818ca8b9251b393131c08a736a67ccb19297,806747172.5319378,46,46,2026-06-08 00:00:00,2026-06-08 00:00:00,1.0
